group,n_features,total_mean_abs_shap,avg_mean_abs_shap_per_feature,pct_of_total,pct_of_avg_per_feature
sentiment,16,0.009121843438153124,0.0005701152148845703,2.4646278362410117,9.330602341518945
lda,5,0.008818268373202653,0.0017636536746405307,2.3826049906902784,28.864255288400294
channel,6,0.005678195672743056,0.000946365945457176,1.534189795028893,15.488385638689431
structural,16,0.03887172827813058,0.0024294830173831614,10.502739298984809,39.761331286809245
bert,768,0.3076203437450284,0.00040054732258467237,83.11583807905501,6.555425444582073
