group,n_features,baseline_acc,mean_acc_drop,std_acc_drop,pct_of_total_drop
sentiment,16,0.32122093023255816,0.0021802325581395444,0.0064757759912632195,3.2751091703056887
lda,5,0.32122093023255816,-0.003052325581395343,0.01094371539772155,0.0
channel,6,0.32122093023255816,0.0024709302325581495,0.0077744646048350805,3.711790393013113
structural,16,0.32122093023255816,0.06191860465116281,0.01513583261272653,93.0131004366812
bert,768,0.32122093023255816,-0.010610465116279055,0.013511188851290249,0.0
