feature,mean_abs_shap
kw_avg_avg,0.020364151456630376
kw_max_avg,0.020081600475360856
LDA_02,0.010544136961138085
kw_avg_min,0.008280102521730982
self_reference_min_shares,0.008243741587978606
LDA_04,0.0074436726007091674
LDA_00,0.007046984682394875
kw_max_min,0.006798925014349174
self_reference_avg_sharess,0.006668499195403509
rate_negative_words,0.006623291707738044
global_rate_negative_words,0.006192333544068601
data_channel_is_world,0.006078409967968601
global_rate_positive_words,0.005986373750625971
title_sentiment_polarity,0.005948204393192288
rate_positive_words,0.0059236823638685225
global_subjectivity,0.005616272765325428
kw_min_avg,0.005586957326802273
global_sentiment_polarity,0.005228436278786287
num_hrefs,0.004979097476919844
self_reference_max_shares,0.004674704939629042
LDA_03,0.004338515630586752
min_positive_polarity,0.004272767683067278
kw_avg_max,0.004229652893042841
avg_positive_polarity,0.004210670666221807
num_imgs,0.0037621768443106074
title_subjectivity,0.003493050761237103
LDA_01,0.0034634687294495758
avg_negative_polarity,0.0034387024698717904
abs_title_sentiment_polarity,0.0034339740975466294
min_negative_polarity,0.0033609116876521287
kw_min_max,0.002984915275295092
max_negative_polarity,0.002777524617231452
data_channel_is_tech,0.002776056773789483
abs_title_subjectivity,0.0026170546334255357
num_self_hrefs,0.0025060680796448083
max_positive_polarity,0.0024032798947668126
data_channel_is_entertainment,0.0023119201740453466
kw_min_min,0.0019472953996768612
kw_max_max,0.001449921117283694
num_videos,0.0013432081931004163
data_channel_is_bus,0.0011863042065083647
data_channel_is_socmed,0.0006873290627618648
data_channel_is_lifestyle,0.00048395523626541993
